,article_name,no_footnotes,primary_sources,refimprove,original_research,advert,notability,file_name,file_name_with_suffix,word_cnt,char_cnt,sentence_cnt,max_sentence_words_len,words_per_paragraph_avg,abstract_chars_len,abstract_words_len,std_dev_sections_chars_len,std_dev_sections_words_len,max_section_chars_len,max_section_words_len,min_section_chars_len,min_section_words_len,file_cnt,section_cnt,sub_section_cnt,image_cnt,images_per_section,ref_cnt,ref_per_sect,table_cnt,external_links_cnt,ext_link_per_sect,passive_sentence_count,questions_count,long_phrase_rate,short_phrase_rate,auxVerbs_count,conjunctions_count,conjunctions_rate,bgn_phrase_pronoun,bgn_phrase_article,bgn_phrase_conjunction,bgn_phrase_subordinating_conjunction,bgn_phrase_inter_pronoun,bgn_phrase_preposition,nominalization_count,nominalization_rate,preposition_count,preposition_rate,to_be_count,to_be_rate,pronouns_count,ARI,coleman_liau,flesh,Kincaid,fog,Lix,Smog,age,age_per_review_30_days,avg_edit_per_usr,ip_count,review_count,user_count,occasional_usr_rvw_rate,rev_porc_Last3Months,Most_active_users_rvw_rate,std_dev_edit_per_usr,Reviews_per_day,section_cnt_include_abstract,subsection_per_section_avg,citation_count_per_text_length,links_per_text_length
20,Chapayev-class_cruiser,1,0,0,0,0,0,1681,1681.txt,325,1642,21,33,32.5,377,62,262.3487924288749,48.60955553066586,1001,174,377,62,7.0,4.0,0.0,8.0,2.0,14.0,3.5,5.0,5.0,1.25,12,0,0.0,0.9523809523809524,12,55,0.16923076923076924,0,12,0,0,0,0,2,0.006153846153846154,41,0.12615384615384614,20,0.061538461538461535,1,10.104464468864467,12.019630769230766,190.78413059121155,-12.09609208282582,6.040411505668509,40.091575091575095,18.35298947157477,4929.0,10.0,1.7818181818181815,7.0,98.0,55.0,0.5,0.040816326530612235,0.2755102040816326,4.107208909102528,0.019882329072834246,5.0,0.0,0.04307692307692308,0.015384615384615384
21,Wednesday_Campanella,1,0,0,0,0,0,6392,6392.txt,1123,6050,82,44,26.11627906976744,219,34,1308.0632842319044,211.00506839620914,4055,648,219,34,6.0,8.0,7.0,7.0,0.875,42.0,5.25,3.0,34.0,4.25,17,0,0.0,0.974025974025974,17,179,0.15939447907390916,10,18,15,1,0,14,8,0.007123775601068565,144,0.12822796081923418,26,0.02315227070347284,41,10.792004430640922,13.74096170970614,192.30554511601886,-12.225063665064795,5.824363606926547,39.69690289511977,17.249518605475934,1339.0,-1.0,2.1016949152542366,20.0,124.0,59.0,0.5080645161290323,0.008064516129032258,0.20161290322580644,2.5943224699261442,0.09260642270351008,9.0,0.7777777777777778,0.037399821905609976,0.030276046304541407
22,Panellets,0,0,1,0,0,0,21363,21363.txt,169,903,9,36,33.8,1061,164,0.0,0.0,1065,167,1065,167,5.0,1.0,0.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,5,0,0.0,0.875,4,33,0.1952662721893491,1,1,2,0,0,2,1,0.005917159763313609,26,0.15384615384615385,8,0.04733727810650888,3,13.125338593030904,14.073786982248519,191.85551062533173,-12.173263480705339,5.459537242721501,47.1801446416831,18.81138830084189,4933.0,-1.0,1.3275862068965518,16.0,77.0,58.0,0.7402597402597403,0.012987012987012988,0.09090909090909093,0.6611698402498064,0.015609162781269004,2.0,0.0,0.02958579881656805,0.02366863905325444
23,The_Four_Blazes,1,0,0,0,0,0,18322,18322.txt,378,1854,19,33,54.0,245,42,873.5,146.5,1992,335,245,42,4.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,3.0,3.0,4,0,0.0,0.875,3,71,0.18783068783068785,2,10,4,2,1,2,0,0.0,50,0.13227513227513227,8,0.021164021164021163,7,11.6187969924812,11.58111111111111,190.54016181229767,-12.098717830174145,5.478625366004007,40.5296574770259,19.042706163631856,4581.0,-1.0,2.4285714285714284,2.0,34.0,14.0,0.4117647058823529,0.029411764705882363,0.0,1.7559422921421233,0.007421960270683256,2.0,0.0,0.0,0.007936507936507936
24,"Sinan_County,_South_Jeolla",0,0,1,0,0,0,14050,14050.txt,220,1056,46,19,10.476190476190476,714,118,105.0,18.0,714,118,504,82,13.0,5.0,0.0,14.0,2.8,2.0,0.4,4.0,6.0,1.2,3,0,0.0,1.0,3,19,0.08636363636363636,0,6,1,0,0,1,0,0.0,16,0.07272727272727272,6,0.027272727272727268,2,3.569304347826087,6.199272727272723,190.0260681818182,-12.05303787878788,7.904848484848485,22.96442687747036,13.151033359262964,5821.0,-1.0,1.5303030303030305,15.0,101.0,66.0,0.6138613861386139,0.0297029702970297,0.10891089108910892,1.084401183107952,0.01735097062360419,6.0,0.0,0.00909090909090909,0.027272727272727268
25,Wheego_Technologies,0,0,0,0,1,0,7121,7121.txt,424,2268,32,30,35.333333333333336,906,130,425.0,78.0,1759,288,909,132,9.0,3.0,2.0,10.0,3.333333333333333,9.0,3.0,5.0,9.0,3.0,12,0,0.0,1.0,13,66,0.15566037735849056,7,12,2,0,0,1,2,0.0047169811320754715,48,0.11320754716981132,19,0.04481132075471698,8,10.389056603773586,13.441792452830182,192.3414218328841,-12.239582210242588,5.666959502179627,44.14622641509435,16.693063937629155,2728.0,-1.0,1.368421052631579,2.0,26.0,19.0,0.8076923076923077,0.0,0.0,0.8906233078822998,0.009530791788856305,4.0,0.5,0.021226415094339614,0.021226415094339614
26,Tenuis_consonant,1,0,0,0,0,0,47561,47561.txt,345,1914,24,43,31.363636363636363,695,113,347.47118185861433,41.68399639616571,1194,163,347,61,3.0,5.0,0.0,4.0,0.8,5.0,1.0,3.0,1.0,0.2,7,0,0.0,0.8333333333333334,8,50,0.14492753623188406,1,5,6,1,0,5,6,0.017391304347826087,38,0.11014492753623188,18,0.052173913043478265,3,11.88776086956522,14.789739130434782,191.87762423333785,-12.125511880423426,6.336162827677071,42.201086956521735,18.69235482647521,5279.0,-1.0,3.0434782608695654,10.0,140.0,46.0,0.3142857142857143,0.0,0.4714285714285714,10.259743048252895,0.02652017427543096,6.0,0.0,0.014492753623188406,0.0028985507246376808
27,RoboCop:_The_Animated_Series,0,0,1,0,0,0,33051,33051.txt,705,3674,49,52,25.17857142857143,567,92,804.9752713593132,132.19398624748405,2481,407,569,94,5.0,6.0,1.0,6.0,1.0,14.0,2.333333333333333,7.0,11.0,1.8333333333333333,6,0,0.040816326530612235,0.8775510204081632,6,110,0.15602836879432624,3,8,8,1,0,7,8,0.011347517730496456,89,0.12624113475177304,18,0.02553191489361702,20,10.309324359531047,12.809730496453902,192.08151928637886,-12.237541806136274,5.916874336433518,42.614705456650746,17.680265804188718,4939.0,3.75,1.925531914893617,86.0,362.0,188.0,0.5856353591160219,0.03591160220994475,0.24585635359116026,2.5852647349933044,0.07329418910710671,7.0,0.14285714285714285,0.019858156028368795,0.015602836879432626
28,Subjective_character_of_experience,0,0,0,1,0,0,27773,27773.txt,341,1755,12,70,48.714285714285715,878,146,213.11394969723491,41.88078318274385,879,147,396,54,4.0,4.0,0.0,5.0,1.25,2.0,0.5,2.0,2.0,0.5,2,1,0.09090909090909093,0.7272727272727273,5,67,0.19648093841642228,0,6,1,0,0,0,11,0.03225806451612903,58,0.17008797653958946,13,0.03812316715542522,15,17.018949169110456,13.457917888563044,191.1024550718099,-12.117060263511874,4.748109715851653,54.80962854349953,20.175564037317667,5502.0,-1.0,1.2686567164179106,15.0,85.0,67.0,0.8,0.0,0.12941176470588234,0.6548960901462835,0.01544892766266812,5.0,0.0,0.005865102639296189,0.005865102639296189
29,17-string_koto,0,0,0,1,0,0,18395,18395.txt,321,1601,17,31,64.2,922,140,35.0,19.5,993,180,923,141,4.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,2.0,10,0,0.0,1.0,11,50,0.1557632398753894,3,11,2,1,0,1,1,0.003115264797507788,41,0.1277258566978193,21,0.06542056074766353,8,11.502484881803193,11.98781931464174,190.46446558906914,-12.06759560321528,4.893204208428923,42.24683892248488,17.30754634285492,4690.0,-1.0,2.0285714285714285,5.0,71.0,35.0,0.39436619718309857,0.0,0.323943661971831,4.333029878617744,0.015138592750533046,2.0,0.0,0.0,0.006230529595015576
